10,46,46,46,46,46,46,11,46,46,46,46,46,46,46,46,46,46,46,12
18,60,60,60,90,135,60,18,60,63,75,60,60,135,60,61,135,60,60,18
18,34,34,34,34,34,34,18,34,34,34,34,34,34,34,34,34,34,34,18
18,34,34,3,34,34,34,18,34,34,34,34,34,34,34,34,34,34,34,18
18,34,34,18,34,34,34,18,34,34,34,34,34,34,34,34,34,34,34,18
18,34,34,18,34,34,34,18,34,34,34,49,34,34,34,34,34,34,34,18
18,34,34,18,34,34,34,18,34,34,34,34,34,34,34,34,34,34,34,18
18,34,34,40,46,46,46,42,34,34,34,34,45,46,46,46,46,46,46,27
18,34,34,60,60,135,60,60,34,34,34,34,60,135,60,60,135,60,60,18
18,34,34,34,34,34,34,34,34,34,34,34,49,49,49,49,34,34,34,18
40,46,46,46,46,46,46,46,46,47,34,45,46,46,46,46,46,46,46,42
